Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
04:36:33 PM,-5.44,-88.41,-38.34,-32.04,-59.8,-4.29,-7.72,-24.6
04:36:33 PM,4.01,-73.24,-36.91,-32.9,-60.08,16.88,10.87,1.14
04:36:33 PM,4.58,-69.81,-36.62,-34.62,-60.94,19.17,14.59,10.3
04:36:33 PM,4.58,-69.81,-38.05,-36.62,-62.37,19.17,14.59,10.3
04:36:33 PM,4.58,-69.81,-39.48,-38.62,-64.37,19.17,14.59,10.3
04:36:33 PM,4.86,-69.52,-42.63,-41.2,-67.81,19.45,14.59,10.59
04:36:33 PM,4.86,-69.81,-46.06,-42.63,-70.67,19.45,14.59,10.59
04:36:33 PM,4.86,-77.53,-48.64,-43.77,-72.1,19.45,14.59,10.3
04:36:33 PM,-1.72,-85.54,-50.64,-44.06,-72.67,14.59,8.58,2.86
04:36:33 PM,-23.46,-76.39,-52.07,-44.35,-73.53,0,-1.43,-14.59
04:36:33 PM,-28.9,-75.53,-55.5,-44.63,-75.82,-6.87,-8.3,-27.18
04:36:33 PM,-28.9,-75.53,-56.36,-43.77,-76.1,-6.87,-8.3,-27.47
04:36:33 PM,-28.9,-75.53,-54.36,-42.34,-74.39,-6.87,-8.3,-27.47
04:36:33 PM,-28.9,-75.53,-52.93,-41.2,-72.67,-6.87,-8.3,-27.47
04:36:33 PM,-28.9,-75.53,-50.35,-40.05,-70.67,-6.87,-8.3,-27.47
04:36:33 PM,-28.9,-74.96,-49.21,-39.2,-69.52,-6.87,-8.3,-27.47
04:36:33 PM,-24.32,-56.36,-47.78,-38.05,-68.09,-4.01,-2.29,-24.32
04:36:33 PM,7.15,-34.05,-45.49,-36.62,-66.38,25.18,24.89,-5.44
04:36:33 PM,27.18,-14.31,-41.48,-34.62,-63.51,45.49,44.06,16.02
04:36:33 PM,28.32,-12.3,-39.48,-32.62,-62.37,46.35,45.49,18.88
04:36:33 PM,28.32,-12.3,-37.77,-31.47,-61.8,46.35,45.49,18.88
04:36:33 PM,28.32,-12.3,-36.91,-30.33,-61.51,46.35,45.49,18.88
04:36:33 PM,28.32,-12.3,-37.19,-29.47,-62.37,46.35,45.49,18.88
04:36:33 PM,28.32,-13.45,-36.91,-29.47,-63.23,46.35,45.49,18.88
04:36:33 PM,28.04,-29.75,-37.19,-28.32,-63.8,46.06,43.49,17.45
04:36:33 PM,22.6,-23.75,-35.19,-26.61,-62.94,33.19,29.18,5.72
04:36:33 PM,11.73,-20.03,-35.19,-25.46,-62.66,6.01,7.44,-10.01
04:36:33 PM,10.59,-21.74,-34.9,-25.18,-62.66,0.57,2,-15.74
04:36:33 PM,10.59,-21.74,-35.19,-26.04,-63.51,0.57,2,-15.74
04:36:33 PM,10.59,-21.74,-36.62,-26.89,-64.37,0.57,2,-15.74
04:36:33 PM,10.59,-21.74,-36.05,-26.89,-64.09,0.57,2,-15.74
04:36:33 PM,10.59,-21.46,-36.05,-27.18,-63.51,0.57,2,-15.74
04:36:33 PM,10.59,-2.57,-34.9,-27.18,-63.23,0.57,2,-15.74
04:36:33 PM,15.16,43.2,-33.19,-26.61,-62.37,8.01,10.01,-10.01
04:36:33 PM,35.76,81.54,-31.47,-26.61,-60.94,37.19,31.47,12.3
04:36:33 PM,40.34,91.55,-30.04,-27.18,-59.8,45.2,38.91,26.89
04:36:33 PM,40.34,91.55,-29.47,-27.18,-58.08,45.2,38.91,27.75
04:36:33 PM,40.63,91.55,-29.18,-27.18,-57.51,45.2,39.2,27.75
04:36:33 PM,40.63,91.55,-30.9,-27.75,-58.36,45.2,39.2,27.75
04:36:33 PM,40.63,91.55,-31.47,-27.18,-58.08,45.2,39.2,27.75
04:36:33 PM,40.63,92.12,-32.33,-27.18,-57.22,45.2,39.2,27.75
04:36:33 PM,38.62,98.13,-32.9,-27.75,-56.93,43.49,36.34,26.61
04:36:33 PM,1.72,70.1,-35.48,-29.18,-57.79,19.17,13.16,9.73
04:36:33 PM,-21.74,46.92,-39.2,-30.61,-60.08,-1.72,-7.15,-12.87
04:36:33 PM,-22.03,46.35,-41.77,-31.47,-60.94,-3.15,-9.16,-17.17
04:36:33 PM,-22.03,46.35,-40.91,-30.61,-58.65,-3.15,-9.16,-17.17
04:36:33 PM,-22.32,46.35,-38.05,-29.47,-55.5,-3.15,-9.16,-17.17
04:36:33 PM,-22.32,46.35,-35.48,-28.9,-53.5,-3.15,-9.16,-17.17
04:36:33 PM,-22.32,48.35,-33.19,-28.9,-52.64,-3.15,-9.16,-17.17
04:36:33 PM,-22.03,60.37,-31.47,-28.9,-51.78,-2.86,-8.01,-16.59
04:36:33 PM,-2.86,64.66,-29.75,-28.9,-50.64,15.45,10.59,-1.14
04:36:33 PM,23.17,63.8,-27.18,-28.32,-48.35,38.62,32.04,22.89
04:36:33 PM,25.46,63.8,-24.03,-28.61,-46.92,41.2,36.34,30.9
04:36:33 PM,25.46,63.8,-24.03,-29.75,-48.35,41.2,36.34,30.9
04:36:33 PM,25.46,63.8,-25.18,-30.9,-50.64,41.2,36.34,30.9
04:36:33 PM,25.46,63.8,-26.04,-31.19,-52.36,41.2,36.34,30.9
04:36:33 PM,25.46,56.08,-26.32,-30.9,-52.93,41.2,36.34,30.9
04:36:33 PM,24.89,-1.14,-26.89,-30.33,-53.5,41.2,35.76,30.61
04:36:33 PM,0.57,-93.84,-27.75,-29.75,-54.36,28.04,15.74,16.02
04:36:33 PM,-51.5,-142.48,-28.61,-29.75,-55.5,-5.72,-16.31,-14.88
04:36:33 PM,-62.66,-149.63,-30.33,-30.04,-57.22,-17.17,-28.32,-30.61
04:36:33 PM,-62.66,-149.63,-29.75,-30.9,-58.08,-17.17,-28.61,-31.19
04:36:33 PM,-62.66,-149.63,-28.9,-32.04,-59.22,-17.17,-28.61,-31.19
04:36:33 PM,-62.66,-149.63,-28.61,-33.19,-60.08,-17.17,-28.61,-31.19
04:36:33 PM,-62.66,-149.63,-27.75,-33.19,-58.94,-17.17,-28.61,-31.19
04:36:33 PM,-62.66,-151.35,-26.04,-32.9,-57.51,-17.17,-28.61,-31.19
04:36:33 PM,-59.51,-180.24,-24.89,-32.04,-56.08,-14.59,-24.32,-28.04
04:36:33 PM,-33.19,-224.02,-23.75,-31.47,-54.93,10.01,-0.86,-10.59
04:36:33 PM,-13.16,-234.32,-21.17,-30.9,-53.22,26.89,16.88,9.44
04:36:33 PM,-11.73,-234.03,-19.17,-29.47,-51.78,27.47,18.31,11.73
04:36:33 PM,-12.02,-234.03,-17.74,-28.32,-50.93,27.47,18.31,11.73
04:36:33 PM,-12.02,-234.32,-16.31,-26.89,-49.78,27.18,18.02,11.73
04:36:33 PM,-12.02,-234.32,-16.02,-26.32,-49.5,27.18,18.02,11.73
04:36:33 PM,-12.02,-235.18,-16.59,-26.61,-50.07,27.18,18.02,11.73
04:36:33 PM,-11.73,-228.31,-16.88,-26.61,-49.78,27.18,17.74,11.16
04:36:33 PM,-10.01,-209.71,-16.59,-26.61,-49.21,19.45,12.02,5.44
04:36:33 PM,-11.16,-201.99,-19.17,-26.61,-49.78,0.29,-4.58,-11.16
04:36:33 PM,-11.44,-201.99,-21.17,-25.75,-49.5,-4.29,-10.3,-19.17
04:36:33 PM,-11.44,-201.99,-21.46,-24.6,-48.35,-4.29,-10.3,-19.17
04:36:33 PM,-11.44,-201.99,-20.6,-22.89,-45.2,-4.29,-10.3,-19.17
